State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound...6,90% CI Upper Bound...7,"Poverty Percent, All Ages",90% CI Lower Bound...9,90% CI Upper Bound...10,"Poverty Estimate, Age 0-17",90% CI Lower Bound...12,90% CI Upper Bound...13,"Poverty Percent, Age 0-17",90% CI Lower Bound...15,90% CI Upper Bound...16,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound...18,90% CI Upper Bound...19,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound...21,90% CI Upper Bound...22,Median Household Income,90% CI Lower Bound...24,90% CI Upper Bound...25,"Poverty Estimate, Age 0-4",90% CI Lower Bound...27,90% CI Upper Bound...28,"Poverty Percent, Age 0-4",90% CI Lower Bound...30,90% CI Upper Bound...31
34,001,NJ,Atlantic County,29057,24806,33308,11.300000000000001,9.6999999999999993,12.9,8397,6139,10655,15.4,11.300000000000001,19.5,5544,3793,7295,13.6,9.3000000000000007,17.899999999999999,62678,59856,65500,.,.,.,.,.,.
34,003,NJ,Bergen County,52980,45318,60642,5.7000000000000002,4.9000000000000004,6.5,11348,8427,14269,5.7999999999999998,4.2999999999999998,7.2999999999999998,8119,5829,10409,5.5,3.8999999999999999,7.0999999999999996,107971,104946,110996,.,.,.,.,.,.
34,005,NJ,Burlington County,24961,20587,29335,5.7000000000000002,4.7000000000000002,6.7000000000000002,6673,5056,8290,7.2999999999999998,5.5,9.0999999999999996,4497,3265,5729,6.5999999999999996,4.7999999999999998,8.4000000000000004,88443,85210,91676,.,.,.,.,.,.
34,007,NJ,Camden County,53641,46593,60689,10.699999999999999,9.3000000000000007,12.1,17293,14007,20579,15.300000000000001,12.4,18.199999999999999,11924,9384,14464,14.4,11.300000000000001,17.5,73168,70794,75542,.,.,.,.,.,.
34,009,NJ,Cape May County,8853,6872,10834,9.8000000000000007,7.5999999999999996,12,2341,1603,3079,14.9,10.199999999999999,19.600000000000001,1684,1110,2258,14.4,9.5,19.300000000000001,66565,61812,71318,.,.,.,.,.,.
34,011,NJ,Cumberland County,19261,15973,22549,13.800000000000001,11.4,16.199999999999999,6744,4932,8556,19.5,14.300000000000001,24.699999999999999,5256,3895,6617,20.5,15.199999999999999,25.800000000000001,54179,50002,58356,.,.,.,.,.,.
34,013,NJ,Essex County,107745,97693,117797,13.800000000000001,12.5,15.1,34413,29308,39518,18.399999999999999,15.699999999999999,21.100000000000001,23166,19086,27246,17.100000000000001,14.1,20.100000000000001,64522,61993,67051,.,.,.,.,.,.
34,015,NJ,Gloucester County,21602,18324,24880,7.5,6.4000000000000004,8.5999999999999996,4788,3548,6028,7.7000000000000002,5.7000000000000002,9.6999999999999993,3098,2132,4064,6.5999999999999996,4.5999999999999996,8.5999999999999996,87996,83050,92942,.,.,.,.,.,.
34,017,NJ,Hudson County,90976,82608,99344,13.699999999999999,12.4,15,27414,23157,31671,20.300000000000001,17.100000000000001,23.5,20158,16746,23570,22.600000000000001,18.800000000000001,26.399999999999999,77738,75224,80252,.,.,.,.,.,.
34,019,NJ,Hunterdon County,4794,3678,5910,4,3.1000000000000001,4.9000000000000004,844,559,1129,3.6000000000000001,2.3999999999999999,4.7999999999999998,590,373,807,3.2000000000000002,2,4.4000000000000004,117275,108927,125623,.,.,.,.,.,.
34,021,NJ,Mercer County,41600,36998,46202,11.9,10.6,13.199999999999999,10291,8249,12333,13.4,10.699999999999999,16.100000000000001,7235,5706,8764,12.800000000000001,10.1,15.5,79475,74603,84347,.,.,.,.,.,.
